
2024-05-06 14:59:05
Mon May  6 14:59:13 2024,651,19449,47044
Mon May  6 14:59:15 2024,620,19473,47228
Mon May  6 14:59:16 2024,584,19492,47335
Mon May  6 14:59:17 2024,562,19510,47496
Mon May  6 14:59:19 2024,559,19498,47550
Mon May  6 14:59:20 2024,556,19512,47335
Mon May  6 14:59:22 2024,550,19514,47740
Mon May  6 14:59:23 2024,576,19484,47202
Mon May  6 14:59:25 2024,594,19476,47069
Mon May  6 14:59:26 2024,611,19468,46990
Mon May  6 14:59:27 2024,630,19471,46964
Mon May  6 14:59:29 2024,627,19459,46990
Mon May  6 14:59:30 2024,636,19471,47282
Mon May  6 14:59:32 2024,626,19467,47202
Mon May  6 14:59:33 2024,607,19474,47228
Mon May  6 14:59:34 2024,616,19464,47416
Mon May  6 14:59:36 2024,592,19490,47416
Mon May  6 14:59:37 2024,599,19479,47255
Mon May  6 14:59:39 2024,582,19477,47175
Mon May  6 14:59:40 2024,631,19468,47203
Mon May  6 14:59:42 2024,618,19470,47122
Mon May  6 14:59:43 2024,620,19471,47149
Mon May  6 14:59:44 2024,612,19474,47043
Mon May  6 14:59:46 2024,594,19486,47308
Mon May  6 14:59:47 2024,575,19504,47255
Mon May  6 14:59:49 2024,566,19497,47577
Mon May  6 14:59:50 2024,555,19511,47308
Mon May  6 14:59:51 2024,532,19520,47308
Mon May  6 14:59:53 2024,542,19527,47577
Mon May  6 14:59:54 2024,539,19528,47416
Mon May  6 14:59:56 2024,544,19516,47362
Mon May  6 14:59:57 2024,556,19506,47577
Mon May  6 14:59:59 2024,543,19522,47523
Mon May  6 15:00:00 2024,551,19507,47335
Mon May  6 15:00:01 2024,554,19508,47469
Mon May  6 15:00:03 2024,547,19520,47335
Mon May  6 15:00:04 2024,552,19518,47362
Mon May  6 15:00:06 2024,557,19506,47362
Mon May  6 15:00:07 2024,534,19526,47469
Mon May  6 15:00:08 2024,529,19531,47416
Mon May  6 15:00:10 2024,514,19544,47416
Mon May  6 15:00:11 2024,513,19542,47631
Mon May  6 15:00:13 2024,513,19541,47849
Mon May  6 15:00:14 2024,513,19540,47740
Mon May  6 15:00:16 2024,488,19556,48041
Mon May  6 15:00:17 2024,509,19544,46992
Mon May  6 15:00:18 2024,15557,17942,32671
Mon May  6 15:00:20 2024,60000,16537,24187
Mon May  6 15:00:21 2024,60000,16288,19226
Mon May  6 15:00:23 2024,60000,16271,15509
Mon May  6 15:00:24 2024,60000,16314,13327
Mon May  6 15:00:25 2024,60000,16344,12411
Mon May  6 15:00:27 2024,60000,16378,12201
Mon May  6 15:00:28 2024,60000,16363,12345
Mon May  6 15:00:30 2024,60000,16339,12470
Mon May  6 15:00:31 2024,60000,16275,11849
Mon May  6 15:00:33 2024,60000,16073,10423
Mon May  6 15:00:34 2024,60000,15836,9194
Mon May  6 15:00:35 2024,60000,15810,8866
Mon May  6 15:00:37 2024,60000,15765,9210
Mon May  6 15:00:38 2024,60000,15797,9688
Mon May  6 15:00:40 2024,60000,15862,10413
Mon May  6 15:00:41 2024,60000,15905,11426
Mon May  6 15:00:42 2024,60000,15827,12433
Mon May  6 15:00:44 2024,60000,15738,11414
Mon May  6 15:00:45 2024,60000,15705,10745
Mon May  6 15:00:47 2024,60000,15660,10657
Mon May  6 15:00:48 2024,60000,15752,13045
Mon May  6 15:00:50 2024,60000,15957,16243
Mon May  6 15:00:51 2024,60000,16186,19191
Mon May  6 15:00:52 2024,60000,16375,21585
Mon May  6 15:00:54 2024,60000,16502,22708
Mon May  6 15:00:55 2024,60000,16632,22982
Mon May  6 15:00:57 2024,60000,16697,23315
Mon May  6 15:00:58 2024,60000,16676,23238
Mon May  6 15:00:59 2024,60000,16654,23008
Mon May  6 15:01:01 2024,60000,16721,22832
Mon May  6 15:01:02 2024,60000,16837,22882
Mon May  6 15:01:04 2024,60000,16999,23551
Mon May  6 15:01:05 2024,60000,17208,25388
Mon May  6 15:01:07 2024,47417,17484,28573
Mon May  6 15:01:08 2024,28315,17759,31973
Mon May  6 15:01:09 2024,14916,18003,34442
Mon May  6 15:01:11 2024,9344,18267,36323
Mon May  6 15:01:12 2024,5340,18533,38420
Mon May  6 15:01:14 2024,2868,18812,39769
Mon May  6 15:01:15 2024,1688,19064,41216
Mon May  6 15:01:17 2024,1022,19290,42685
Mon May  6 15:01:18 2024,603,19477,43892
Mon May  6 15:01:19 2024,395,19644,44735
Mon May  6 15:01:21 2024,246,19765,44783
Mon May  6 15:01:22 2024,184,19858,44975
Mon May  6 15:01:24 2024,149,19916,45217
Mon May  6 15:01:25 2024,107,19978,45760
Mon May  6 15:01:26 2024,67,20041,45810
Mon May  6 15:01:28 2024,37,20089,45911
Mon May  6 15:01:29 2024,15,20125,46317
Mon May  6 15:01:31 2024,0,20160,46886
Mon May  6 15:01:32 2024,0,20209,46990
Mon May  6 15:01:34 2024,0,20221,47282
Mon May  6 15:01:35 2024,0,20227,47442
Mon May  6 15:01:36 2024,0,20241,47149
Mon May  6 15:01:38 2024,0,20254,47496
Mon May  6 15:01:39 2024,0,20262,47794
Mon May  6 15:01:41 2024,0,20272,47604
Mon May  6 15:01:42 2024,0,20267,47577
Mon May  6 15:01:43 2024,0,20261,48014
Mon May  6 15:01:45 2024,0,20258,47931
Mon May  6 15:01:46 2024,0,20257,47740
Mon May  6 15:01:48 2024,0,20253,47849
Mon May  6 15:01:49 2024,0,20236,47959
Mon May  6 15:01:51 2024,0,20225,47822
Mon May  6 15:01:52 2024,0,20221,47931
Mon May  6 15:01:53 2024,0,20217,47931
Mon May  6 15:01:55 2024,0,20216,47876
